"","Country","WHO_region","T0","T0/2","T0/3","T0/4","T0/5","Criterion","transform","filter","domain"
"1","Algeria","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"2","Angola","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"3","Benin","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"4","Botswana","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"5","Burkina Faso","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"6","Burundi","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"7","Cabo Verde","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"8","Cameroon","AFRO",0,1,1,0,0,"BIC",0,"high-pass","frequency"
"9","Central African Republic","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"10","Chad","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"11","Comoros","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"12","Congo","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"13","Ctedvoire","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"14","Democratic Republic of the Congo","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"15","Equatorial Guinea","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"16","Eritrea","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"17","Eswatini","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"18","Ethiopia","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"19","Gabon","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"20","Gambia","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"21","Ghana","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"22","Guinea","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"23","Guinea-Bissau","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"24","Kenya","AFRO",0,1,0,0,0,"BIC",0,"high-pass","frequency"
"25","Lesotho","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
"26","Liberia","AFRO",0,0,0,0,0,"BIC",0,"high-pass","frequency"
