"","Country","WHO_region","T0","T0/2","T0/3","T0/4","T0/5","Criterion","transform","filter","domain"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.1","Algeria "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.2","Angola "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.3","Benin "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.4","Botswana "," AFRO",0,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.5","Burkina Faso "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.6","Burundi "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.7","Cabo Verde "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.8","Cameroon "," AFRO",1,1,1,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.9","Central African Republic "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.10","Chad "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.11","Comoros "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.12","Congo "," AFRO",0,1,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.13","Ctedvoire "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.14","Democratic Republic of the Congo "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.15","Equatorial Guinea "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.16","Eritrea "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.17","Eswatini "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.18","Ethiopia "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.19","Gabon "," AFRO",0,0,1,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.20","Gambia "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.21","Ghana "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
"/Volumes/Newsmy 1/phd/Data Science and Management/automatic_method-main/WHO/Results_AFRO_tr0_day_high_freq_rect.txt.22","Guinea "," AFRO",0,0,0,0,0,"BIC",0,"none","none"
