American Samoa 	 WPRO 	 No periodicities
Australia 	 WPRO 	 No periodicities
Brunei Darussalam 	 WPRO 	 No periodicities
Cambodia 	 WPRO 	 No periodicities
China 	 WPRO 	 No periodicities
Cook Islands 	 WPRO 	 No periodicities
Fiji 	 WPRO 	 No periodicities
French Polynesia 	 WPRO 	 No periodicities
Guam 	 WPRO 	 No periodicities
Japan 	 WPRO	 52*1/3[S]
Kiribati 	 WPRO 	 No periodicities
Lao Peoples Democratic Republic 	 WPRO 	 No periodicities
Malaysia 	 WPRO	 52*1/2[S]
Marshall Islands 	 WPRO 	 No periodicities
Micronesia (Federated States of) 	 WPRO 	 No periodicities
Mongolia 	 WPRO 	 No periodicities
Nauru 	 WPRO 	 No periodicities
New Caledonia 	 WPRO 	 No periodicities
New Zealand 	 WPRO 	 No periodicities
Niue 	 WPRO 	 No periodicities
Northern Mariana Islands (Commonwealth of the) 	 WPRO 	 No periodicities
Palau 	 WPRO 	 No periodicities
Papua New Guinea 	 WPRO 	 No periodicities
Philippines 	 WPRO 	 No periodicities
Pitcairn Islands 	 WPRO 	 No periodicities
Republic of Korea 	 WPRO	 52*1/3[S]
Samoa 	 WPRO 	 No periodicities
Singapore 	 WPRO	 52*1/3[S]
Solomon Islands 	 WPRO 	 No periodicities
Tokelau 	 WPRO 	 No periodicities
Tonga 	 WPRO 	 No periodicities
Tuvalu 	 WPRO 	 No periodicities
Vanuatu 	 WPRO 	 No periodicities
Viet Nam 	 WPRO 	 No periodicities
Wallis and Futuna 	 WPRO 	 No periodicities
