Afghanistan 	 EMRO 	 No periodicities
Bahrain 	 EMRO 	 No periodicities
Djibouti 	 EMRO 	 No periodicities
Egypt 	 EMRO 	 No periodicities
Iran (Islamic Republic of) 	 EMRO	 7*1[BS]
Iran (Islamic Republic of) 	 EMRO	 7*1/2[BS]
Iraq 	 EMRO	 7*1[BS]
Iraq 	 EMRO	 7*1[S]
Jordan 	 EMRO	 7*1[BS]
Jordan 	 EMRO	 7*1/2[BS]
Kuwait 	 EMRO 	 No periodicities
Lebanon 	 EMRO	 7*1[BS]
Lebanon 	 EMRO	 7*1/2[B]
Libya 	 EMRO 	 No periodicities
Morocco 	 EMRO	 7*1[BS]	 7*1/2[BS]
Morocco 	 EMRO	 7*1/2[BS]
occupied Palestinian territory including east Jerusalem 	 EMRO 	 No periodicities
Oman 	 EMRO 	 No periodicities
Pakistan 	 EMRO	 7*1[BS]
Pakistan 	 EMRO
Qatar 	 EMRO 	 No periodicities
Saudi Arabia 	 EMRO	 7*1[BS]
Saudi Arabia 	 EMRO	 7*1/2[BS]
Somalia 	 EMRO 	 No periodicities
Sudan 	 EMRO 	 No periodicities
Syrian Arab Republic 	 EMRO 	 No periodicities
Tunisia 	 EMRO 	 No periodicities
United Arab Emirates 	 EMRO	 7*1[BS]
United Arab Emirates 	 EMRO
Yemen 	 EMRO 	 No periodicities
