American Samoa 	 WPRO 	 No periodicities
Australia 	 WPRO	 7*1/2[B]	 7*1/3[BS]
Brunei Darussalam 	 WPRO 	 No periodicities
Cambodia 	 WPRO 	 No periodicities
China 	 WPRO 	 No periodicities
Cook Islands 	 WPRO 	 No periodicities
Fiji 	 WPRO 	 No periodicities
French Polynesia 	 WPRO 	 No periodicities
Guam 	 WPRO 	 No periodicities
Japan 	 WPRO	 7*1[BS]
Japan 	 WPRO	 7*1/2[B]
Kiribati 	 WPRO 	 No periodicities
Lao Peoples Democratic Republic 	 WPRO 	 No periodicities
Malaysia 	 WPRO	 7*1[BS]
Malaysia 	 WPRO
Marshall Islands 	 WPRO 	 No periodicities
Micronesia (Federated States of) 	 WPRO 	 No periodicities
Mongolia 	 WPRO 	 No periodicities
Nauru 	 WPRO 	 No periodicities
New Caledonia 	 WPRO 	 No periodicities
New Zealand 	 WPRO 	 No periodicities
Niue 	 WPRO 	 No periodicities
Northern Mariana Islands (Commonwealth of the) 	 WPRO 	 No periodicities
Palau 	 WPRO 	 No periodicities
Papua New Guinea 	 WPRO 	 No periodicities
Philippines 	 WPRO	 7*1[BS]
Philippines 	 WPRO
Pitcairn Islands 	 WPRO 	 No periodicities
Republic of Korea 	 WPRO	 7*1[BS]
Republic of Korea 	 WPRO	 7*1/2[BS]
Samoa 	 WPRO 	 No periodicities
Singapore 	 WPRO 	 No periodicities
Solomon Islands 	 WPRO 	 No periodicities
Tokelau 	 WPRO 	 No periodicities
Tonga 	 WPRO 	 No periodicities
Tuvalu 	 WPRO 	 No periodicities
Vanuatu 	 WPRO 	 No periodicities
Viet Nam 	 WPRO 	 No periodicities
Wallis and Futuna 	 WPRO 	 No periodicities
